UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,COLL_SPEC
330,PAL00345,Mountain Lagoon_core1,,5,-9999,111,,-9999.99,,,
331,PAL00346,Mt Hauhungatahi Site 1140_core1,,5,20,116,,0,,,
332,PAL00347,Mt Hauhungatahi Site 1170_core1,,5,20,84,,-9999.99,,,
333,PAL00348,Mt Hauhungatahi Site 1380_core1,,5,20,84,,-9999.99,,,
334,PAL00349,Mudstone Bay Swamp_core1,,5,20,84,01.12.75,-9999.99,,,
335,PAL00350,Muellers Rock_core1,,5,-9999,84,,-9999.99,,,
336,PAL00351,Mulloon_core1,,5,-9999,-9999,,-9999.99,,,
337,PAL00352,MD03-2067,,5,19,9,21.02.03,865,,,
338,PAL00144,Native Companion Lagoon NCL1,NATCOMLAG,5,14,111,01.08.04,0,NATCOMLAG,,
339,PAL00353,Near Lagoon_core1,,5,7,111,,-9999.99,,,
340,PAL00354,Neon ANB2,,5,-9999,84,1979,-9999.99,,,
341,PAL00489,New Cave NC,,5,7,110,,0,,,
342,PAL00355,Newall Creek_core1,,5,-9999,7,,-9999.99,,,
343,PAL00356,Newnes Swamp_core1,,5,20,-9999,,-9999.99,,,
344,PAL00357,Nokomai Islands I X88/1,,6,5,111,,0,,,
345,PAL00358,Nokomai Islands II X88/3,,5,14,116,,0,,,
346,PAL00359,Noreikora Swamp core NORI/A/18,,5,14,84,,-9999.99,,,
347,PAL00360,North Torbreck_core1,,5,-9999,84,,-9999.99,,,
348,PAL00361,NEI12,,5,20,84,12.03.12,0,,,
349,PAL00362,Northern Awana_core1,,6,5,28,,0,,,
350,PAL00118,Northwest Crater Tower Hill_core1,,5,14,111,01.03.85,0,,,
351,PAL00118,Northwest Crater Tower Hill 2008 core,,5,19,111,2008,-9999.99,,,
352,PAL00363,Notts Swamp_core1,,5,20,-9999,,-9999.99,,,
353,PAL00364,Nurenk Swamp_core1,,5,-9999,84,,0,,,
354,PAL00365,Nursery Swamp_core1,,5,-9999,-9999,,-9999.99,,,
355,PAL00366,Oaks Creek D-section Missen composite,,5,7,84,,-9999.99,,,
356,PAL00103,ODP 820,,5,19,9,12.09.90,278,,,
357,PAL00367,Ohinewai peatland core 9,,5,-9999,116,,0,,,
358,PAL00368,OKA1 OKA913 composite,,5,14,84,,-9999.99,,,
359,PAL00090,Lake Coomboo_core1,OLDC1985,5,41,111,1985,-9999.99,OLDC1985,"Depositional environment identified as a ""perched dune lake"" in Longmore (1997)",Gemco hydraulic drill rig
360,PAL00369,Ongarue Mire_core1,,5,-9999,84,,-9999.99,,,
361,PAL00370,Otakairangi Swamp Pollen Core Q06ff59(2A),,5,-9999,84,,-9999.99,,,
362,PAL00371,TAS1501,,5,19,111,01.01.15,7,,,
363,PAL00372,Oxford Falls Swamp cores OF1 OF2,,5,20,84,16.09.09,0,,,
364,PAL00126,TAS1401 SC1 N1 composite,PADDYS,5,19,111,12.11.14,20.78,PADDYS,Total core length of 291 cm was merged from two cores (TAS1401 SC1 and TAS1401 N1) retrieved with a Bolivia coring system (a modified Livingstone system) and a Nesje coring system.,Bolivia and Nesje
365,PAL00373,Papamoa Bog core Kt16-b,,5,14,84,02.07.91,-9999.99,,,
366,PAL00374,Paranoa Swamp_core1,,5,20,84,,-9999.99,,,
367,PAL00375,Penrith Lakes Trench,,6,5,111,,-9999.99,,,
368,PAL00375,Penrith Lakes Hand core,,5,14,111,,-9999.99,,,
369,PAL00375,Penrith Lakes Drill core,,5,19,111,,-9999.99,,,
370,PAL00376,Piano Point Lagoon_core1,,5,-9999,111,01.12.19,-9999.99,,,
371,PAL00377,Pine Camp_core1,,5,20,111,,0.2,,,
372,PAL00378,Pleasant River_core1,,5,-9999,-9999,,-9999.99,,,
373,PAL00379,Poets Hill Core 1,,5,19,111,,-9999.99,,,
374,PAL00380,Poley Creek_core1,,5,-9999,-9999,,-9999.99,,,
375,PAL00381,Police Station Swamp_core1,,5,21,84,,-9999.99,,,
376,PAL00382,Pomahaka Bog 2001 core,,5,-9999,84,2001,-9999.99,,,
377,PAL00383,Pomahaka Rd_core1,,5,-9999,-9999,,-9999.99,,,
378,PAL00384,Ponaki Swamp Core A,,5,-9999,84,,-9999.99,,,
379,PAL00385,Potter's Bog_core1,,5,-9999,84,,-9999.99,,,
380,PAL00386,Poverty Bay Core W396,,5,-9999,9,,63,,,
381,PAL00387,Powelltown_core1,,5,-9999,84,,-9999.99,,,
382,PAL00388,Pukekawa Crater HA1,,5,7,-9999,,0,,,
383,PAL00389,Quagmire Tarn_core1,,5,20,111,,-9999.99,,,
384,PAL00390,Quambie Lagoon_core1,,5,-9999,111,,1,,,
385,PAL00391,Queens Swamp Core QS 3,,5,-9999,84,,-9999.99,,,
386,PAL00391,QS-Monolith,,6,5,84,08.02.22,0,,,
387,PAL00344,Quincan Crater_core1,,5,-9999,84,,-9999.99,,,
388,PAL00392,TAS1606SC2,,5,19,111,,1,,,
389,PAL00393,Redhead Lagoon E12b,,5,21,111,,2,,,
390,PAL00393,Redhead Lagoon E12c,,5,21,111,,2,,,
391,PAL00394,Redhead Lagoon F4c,,5,21,111,,2,,,
392,PAL00395,RNX-A RNX-B composite,,5,-9999,84,,-9999.99,,,
393,PAL00396,Repongaere Swamp_core1,,5,20,84,,-9999.99,,,
394,PAL00397,Ringarooma Humus Site 1_core1,,14,40,110,,-9999.99,,,
395,PAL00398,Ringarooma Humus Site 2_core1,,14,40,110,,-9999.99,,,
396,PAL00399,Ringarooma River Site 1_core1,,5,14,-9999,,-9999.99,,,
397,PAL00400,Ringarooma River Site 2_core1,,5,14,-9999,,-9999.99,,,
398,PAL00401,Robertson Cave RC,,5,7,110,,0,,,
399,PAL00402,Rock Arch Swamp_core1,,5,-9999,-9999,,0.1,,,
400,PAL00403,RPR-Monolith,,14,40,84,13.12.21,0,,,
401,PAL00404,Rollen Swamp core RS,,5,20,84,15.11.17,0,,,
402,PAL00129,Rotten Swamp 1984 core,,5,20,84,01.04.84,-9999.99,,unclear how this core relates to NEO_HANDLE 'ROTTEN',
403,PAL00129,Rotten Swamp Core 4,,5,-9999,84,,-9999.99,,unclear how this core relates to NEO_HANDLE 'ROTTEN',
404,PAL00405,Round Lake_core1,,5,19,111,,7.5,,,
405,PAL00406,Ruined Hut Bog RH1,,5,20,84,,-9999.99,,,
406,PAL00407,Ruined Hut Bog RH2,,5,20,84,,-9999.99,,,
407,PAL00104,Ruisasi 2 Square A,,6,5,29,,0,,,
408,PAL00408,Ryans Swamp_core1,,5,-9999,-9999,,1,,,
409,PAL00409,Salisbury Lodge SL1,,5,14,84,,-9999.99,,,
410,PAL00032,SAN1,,5,20,111,01.04.16,1.25,,,
411,PAL00410,Sapphire Swamp_core1,,5,-9999,84,,-9999.99,,,
412,PAL00411,Smiths Lagoon_core1,,6,5,111,,-9999.99,,,
413,PAL00412,Snobs Creek_core1,,5,20,84,,-9999.99,,,
414,PAL00413,Snowy Flats_core1,,5,-9999,-9999,,-9999.99,,,
415,PAL00414,Solomons Jewel Lake_core1,,5,14,111,,-9999.99,,,
416,PAL00415,Sondambile_core1,,5,-9999,111,,4.8,,,
417,PAL00416,South Salvation Creek Swamp_core1,,5,14,-9999,,-9999.99,,,
418,PAL00417,Specimen Cave SP,,5,7,110,,0,,,
419,PAL00418,TAS1205,,5,19,111,01.01.12,3.5,,,
420,PAL00419,Staces Tarn_core1,,5,20,111,,-9999.99,,,
421,PAL00120,Stockyard Swamp Hunter Island_core1,,5,20,84,,0.1,,,
422,PAL00075,Stoney Lagoon SL1,,5,20,84,01.04.09,0,,,
423,PAL00420,Storm Creek_core1,,5,19,84,,-9999.99,,,
424,PAL00421,Strenekoff's Crater_core1,,5,-9999,-9999,,0,,,
425,PAL00145,Sundown Swamp_core1,SUNDOWN,5,-9999,84,12.01.78,-9999.99,SUNDOWN,COREDATE source is IPPD,
426,PAL00422,Supulah Hill North Pond 1991 core,,5,20,84,01.01.91,1,,,
427,PAL00423,Suttons Tarn Core 13A,,5,17,111,2012,10.5,,,
428,PAL00134,Swallow Lagoon SLP2 SLP3 SL-2 composite,SWALLOW,5,19,111,01.03.11,5,SWALLOW,Core is a composite of three cores. A large-diameter soft-sediment core was taken of the top 94 cm (core SLP2). A second small-diameter core (core SLP3) was taken of the top 250 cm to ensure penetration into the firm underlying sediment. Both were extruded at 1 cm intervals in the field. Core SL-2 (150–370 cm) was collected using a Livingstone corer and was correlated to SLP-3 using a conspicuous 7 cm thick band of sand that was evident at a depth of 235 cm in each core.,"soft sediment corer, Livingstone corer"
429,PAL00424,TS-425,,5,7,84,,-9999.99,,,
430,PAL00425,Tadpole Swamp_core1,,5,19,84,,1,,,
431,PAL00076,Talita Kupai core 1,,5,14,112,,-9999.99,,,
432,PAL00077,Talita Kupai core 2,,5,14,112,,-9999.99,,,
433,PAL00089,EA204 Core 1,,5,20,84,17.11.15,-9999.99,,,
434,PAL00426,Tarahoka Swamp Core 1,,5,20,84,01.09.00,-9999.99,,,
435,PAL00426,Tarahoka Swamp Core 2,,5,20,84,01.12.00,-9999.99,,,
436,PAL00427,Tarraleah Bog_core1,,5,20,84,,-9999.99,,,
437,PAL00428,Te Werahi Swamp Woolshed Core,,5,20,84,,3.5,,,
438,PAL00429,Tea Tree Swamp Core DRA,,5,-9999,-9999,01.01.85,-9999.99,,,
439,PAL00430,Tea Tree Swamp Core DRE,,5,-9999,-9999,01.01.85,-9999.99,,,
440,PAL00431,Tea Tree Swamp Core DRN-A,,5,-9999,-9999,01.11.85,-9999.99,,,
441,PAL00105,Telefomin_core1,,5,20,84,,0,,,
442,PAL00432,Terragong Swamp Borehole T1,,5,14,84,,-9999.99,,,
443,PAL00433,Teviot Swamp_core1,,5,-9999,84,,-9999.99,,,
444,PAL00434,Three-Quarter Mile Lake_core1,,5,-9999,111,01.06.97,3.8,,,
445,PAL00146,Tiam Point_core1,TIAMPOINT,5,14,84,,-9999.99,TIAMPOINT,,50x500 mm^2 D-section corer
446,PAL00435,Tiger Snake Swamp_core1,,5,20,84,,0.8,,,
447,PAL00436,TS-Monolith,,14,40,84,13.12.21,0,,,
448,PAL00437,Tiniroto Lakes swamp Core 1 Core 2 composite,,5,20,84,,-9999.99,,,
449,PAL00438,Tipoeka Estuary core 1,,5,20,112,,-9999.99,,,
450,PAL00439,Tipoeka Estuary core 2,,5,20,112,,-9999.99,,,
451,PAL00440,Tobacco Lagoon_core1,,5,-9999,111,01.12.19,-9999.99,,,
452,PAL00441,Tobani section,,6,5,29,,0,,,
453,PAL00442,Toitoi Flat X81/16,,5,20,84,,-9999.99,,,
454,PAL00443,Tom Burns Missen Core TBM,,5,19,84,,-9999.99,,,
455,PAL00443,Tom Burns D-section Core TBD,,5,20,84,,-9999.99,,,
456,PAL00444,Tom Gregory Swamp_core1,,5,-9999,84,,-9999.99,,,
457,PAL00017,Tom's Lake Bore 36342,,5,-9999,28,,-9999.99,,,
458,PAL00445,VIC2104A,,5,18,111,01.01.21,-9999.99,,,
459,PAL00135,Tortoise Lagoon TOR,TORD2013,5,14,111,01.11.07,0,TORD2013,,
460,PAL00080,Township Lagoon TL1,,5,20,111,,-9999.99,,,
461,PAL00080,Township Lagoon_core1,,5,19,111,,-9999.99,,,
462,PAL00446,Travis Swamp_core1,,5,-9999,84,,-9999.99,,,
463,PAL00446,Travis Swamp 1995 core,,5,-9999,84,1995,0,,,
464,PAL00447,Trig Road Swamp N03/f39,,6,5,84,01.10.86,0,,,
465,PAL00091,truwana East Coast Lagoon_core1,TEC,5,-9999,111,08.12.17,-9999.99,TEC,COREDATE source is IPPD,
466,PAL00081,TUA1,,5,14,111,01.09.18,0,,,
467,PAL00448,Tugupugua Basin core T1,,5,14,84,,-9999.99,,,
468,PAL00449,Tullabardine Dam Location A B composite,,5,-9999,-9999,,-9999.99,,,
469,PAL00450,Tunapahore_core1,,5,-9999,84,,-9999.99,,,
470,PAL00027,Two Mile Lake TML7,,5,19,111,,0.3,,,
471,PAL00451,Twyford Creek Dairymaid Plain_core1,,5,-9999,116,,0,,,
472,PAL00452,Tyrendarra Swamp_core1,,5,41,84,,0.3,,,
473,PAL00453,Umutekai Pollen Core,,5,14,84,01.02.87,0,,,
474,PAL00454,UB-Monolith,,14,40,84,2022,0,,,
475,PAL00455,Victoria Fossil Cave VFC,,5,7,110,,0,,,
476,PAL00456,Waiatarua_core1,,5,21,111,,-9999.99,,,
477,PAL00457,Waihi Beach Swamp core WB1,,5,14,84,03.07.91,-9999.99,,,
478,PAL00458,Waikaremoana core W1,,5,19,111,,100,,,
479,PAL00459,Wairepo Lagoon_core1,,5,20,-9999,,-9999.99,,,
480,PAL00092,EA200 Core 2,,5,20,84,15.11.15,-9999.99,,,
481,PAL00058,Walala Core 2,,5,19,111,01.09.03,2,,,
482,PAL00460,Wangil Core Site_core1,,5,7,84,,-9999.99,,,
483,PAL00461,Wangrah Creek Transect WCT 8 Profile WC7,,5,-9999,28,,-9999.99,,,
484,PAL00461,Wangrah Creek Transect WCT 8 Profile W49,,5,-9999,28,,-9999.99,,,
485,PAL00461,Wangrah Creek Transect WCT 8 Profile W51,,5,-9999,28,,-9999.99,,,
486,PAL00461,Wangrah Creek Transect WCT 8 Profile W52,,5,-9999,28,,-9999.99,,,
487,PAL00462,Warrananga_core1,,5,20,111,,0.2,,,
488,PAL00463,Warrimoo Oval Swamp_core1,,5,20,-9999,,-9999.99,,,
489,PAL00147,Waruid core 1,WARUID,5,14,112,,-9999.99,WARUID,,50x500 mm^2 D-section corer
490,PAL00148,Waruid core 2,,5,14,112,,-9999.99,,,
491,PAL00010,Wathumba A,,5,14,84,01.07.11,0.5,,,
492,PAL00010,Wathumba B,,5,14,84,01.07.11,0.5,,,
493,PAL00464,Waverly Beach pollen samples,,5,-9999,112,,-9999.99,,,
494,PAL00106,WC38,,5,7,110,2015,0,,,
495,PAL00106,WC39,,5,7,110,2015,0,,,
496,PAL00107,WS01,,5,14,111,01.06.12,0,,,
497,PAL00131,Welsby Lagoon WEL,WEL1986,5,14,111,01.11.09,0.5,WEL1986,unclear how this core relates to NEO_HANDLE 'ROTTEN',
498,PAL00132,Welsby Lagoon wetland edge core,,5,14,111,2009,1.2,,,
499,PAL00133,WL15-2,,5,19,111,2015,0.5,,,
500,PAL00108,WCS01,,5,14,111,01.06.12,1,,,
501,PAL00465,Wet Lagoon_core1,,5,18,84,,-9999.99,,,
502,PAL00466,Whangape Harbour Core A,,5,21,112,,-9999.99,,,
503,PAL00467,Whangape Harbour Core B (4),,5,21,112,,-9999.99,,,
504,PAL00468,Wharau Road Swamp Borehole 5,,5,14,84,,-9999.99,,,
505,PAL00469,White Lagoon_core1,,5,19,111,,-9999.99,,,
506,PAL00470,Whitehaven Swamp_core1,,5,19,84,01.07.01,1.1,,,
507,PAL00471,Wildes Meadow Swamp_core1,,5,14,-9999,,0,,,
508,PAL00472,Will02,,5,7,7,01.12.16,-9999.99,,,
509,PAL00472,Will03,,5,7,7,01.12.16,-9999.99,,,
510,PAL00009,Willigobung Swamp WG-1,,5,19,84,1984,-9999.99,,,
511,PAL00473,Wilson Bog_core1,,6,5,84,,0,,,
512,PAL00474,Wingecarribee Swamp W1,,5,14,84,,-9999.99,,,
513,PAL00475,Wingecarribee Swamp W2,,5,14,84,,-9999.99,,,
514,PAL00476,Winterton 1 X91/4,,6,5,84,,0,,,
515,PAL00476,Winterton 2 X91/5,,14,40,84,,0,,,
516,PAL00014,Witherspoon Swamp WS1,,5,-9999,84,01.10.04,-9999.99,,,
517,PAL00014,Witherspoon Swamp WS2,,5,-9999,84,01.11.06,-9999.99,,,
518,PAL00477,Wolgan Valley Swamp core C1,,5,20,84,04.06.11,0,,,
519,PAL00478,Wombat Pool Core 12,,5,19,111,2011,2,,,
520,PAL00479,Worimi Swamp L1,,5,14,-9999,,0.1,,,
521,PAL00480,Worimi Swamp L2,,5,14,-9999,,0.1,,,
522,PAL00481,Wyelangta_core1,,5,-9999,7,,-9999.99,,,
523,PAL00482,Yakas Swamp_core1,,5,21,7,2000,-9999.99,,,
524,PAL00149,Yakka Lagoon_core1,YAK.LGN,5,-9999,-9999,05.12.19,-9999.99,YAK.LGN,COREDATE source is IPPD,
525,PAL00150,YAN 2,,5,19,111,,-9999.99,,,
526,PAL00483,Yaouk Swamp_core1,,5,-9999,-9999,,-9999.99,,,
527,PAL00484,Yawi Ti_core1,,5,-9999,84,,-9999.99,,,
528,PAL00485,Yellow Marsh YM,,5,14,84,01.12.10,0,,,
529,PAL00486,Yeni Swamp MSI core 1.3,,5,-9999,84,,0,,,
530,PAL00487,Yombon Airstrip FIF/4,,6,5,29,1991,0,,,
531,PAL00082,Zurath Islet_core1,ZURATH06,5,7,84,,-9999.99,ZURATH06,"A single core (at 310cm depth) was obtained from the swamp centre. D-section recovery was limited owing to the heavy nature of the subsurface clay, so sampling was carried out at approximately 10cm intervals using a sand auger. (Rowe, 2005)",50x500 mm^2 D-section corer
